Idrogeno: H
Elio: He
Litio: Li
Berillio: Be
Boro: B
Carbonio: C
Azoto: N
Ossigeno: O
Fluoro: F
Neon: Ne
Sodio: Na
Magnesio: Mg
Alluminio: Al
Silicio: Si
Fosforo: P
Zolfo: S
Cloro: Cl
Argon: Ar
Potassio: K
Calcio: Ca
Scandio: Sc
Titanio: Ti
Vanadio: V
Cromo: Cr
Manganese: Mn
Ferro: Fe
Cobalto: Co
Nichel: Ni
Rame: Cu
Zinco: Zn
Gallio: Ga
Germanio: Ge
Arsenico: As
Selenio: Se
Bromo: Br
Kripton: Kr
Rubidio: Rb
Stronzio: Sr
Ittrio: Y
Zirconio: Zr
Niobio: Nb
Molibdeno: Mo
Tecnezio: Tc
Rutenio: Ru
Rodio: Rh
Palladio: Pd
Argento: Ag
Cadmio: Cd
Indio: In
Stagno: Sn
Antimonio: Sb
Tellurio: Te
Iodio: I
Xenon: Xe
Cesio: Cs
Bario: Ba
Lantanio: La
Cerio: Ce
Praseodimio: Pr
Neodimio: Nd
Promezio: Pm
Samario: Sm
Europio: Eu
Gadolinio: Gd
Terbio: Tb
Disprosio: Dy
Olmio: Ho
Erbio: Er
Tulio: Tm
Itterbio: Yb
Lutezio: Lu
Afnio: Hf
Tantalio: Ta
Tungsteno: W
Renio: Re
Osmio: Os
Iridio: Ir
Platino: Pt
Oro: Au
Mercurio: Hg
Tallio: Tl
Piombo: Pb
Bismuto: Bi
Polonio: Po
Astato: At
Radon: Rn
Francio: Fr
Radio: Ra
Attinio: Ac
Torio: Th
Protoattinio: Pa
Uranio: U
Nettunio: Np
Plutonio: Pu
Americio: Am
Curio: Cm
Berkelio: Bk
Californio: Cf
Einsteinio: Es
Fermio: Fm
Mendelevio: Md
Nobelio: No
Lawrencio: Lr
Rutherfordio: Rf
Dubnio: Db
Seaborgio: Sg
Bohrio: Bh
Hassio: Hs
Meitnerio: Mt
Darmstadtio: Ds
Roentgenio: Rg
Copernicio: Cn
Nihonio: Nh
Flerovio: Fl
Moscovio: Mc
Livermorio: Lv
Tennesso: Ts
Oganesson: Og
